Int1_NO_Pc	NZ_JAAOET010000008.1	100.000	798	0	0	1	798	165940	165143	0.0	1474
Int1_NO_Pc	NZ_JAAOET010000008.1	100.000	322	0	0	1	322	174542	174221	1.39e-166	595
Int1_NO_Pc	NZ_JAALHG010000040.1	100.000	798	0	0	1	798	4812	4015	0.0	1474
Int1_NO_Pc	NZ_JACCIJ010000080.1	100.000	798	0	0	1	798	3583	4380	0.0	1474
Int1_NO_Pc	NZ_JACCIH010000071.1	100.000	798	0	0	1	798	4974	5771	0.0	1474
Int1_NO_Pc	NZ_CP056774.1	100.000	798	0	0	1	798	5263203	5262406	0.0	1474
Int1_NO_Pc	NZ_CP056774.1	100.000	798	0	0	1	798	6273426	6274223	0.0	1474
Int1_NO_Pc	NZ_CP056774.1	100.000	798	0	0	1	798	6286711	6287508	0.0	1474
Int1_NO_Pc	NZ_CP056774.1	100.000	85	0	0	1	85	6261601	6261685	7.79e-35	158
Int1_NO_Pc	NZ_CP053917.1	100.000	798	0	0	1	798	2895236	2894439	0.0	1474
Int1_NO_Pc	NZ_CP053917.1	99.875	798	1	0	1	798	39501	40298	0.0	1469
Int1_NO_Pc	NZ_JABLTW010000106.1	100.000	798	0	0	1	798	1000	203	0.0	1474
Int1_NO_Pc	NZ_SWGR01000131.1	100.000	798	0	0	1	798	3033	3830	0.0	1474
Int1_NO_Pc	NZ_SWGO01000082.1	100.000	798	0	0	1	798	12928	12131	0.0	1474
Int1_NO_Pc	NZ_SWGG01000113.1	100.000	798	0	0	1	798	1000	203	0.0	1474
Int1_NO_Pc	NZ_CP045917.1	100.000	798	0	0	1	798	384693	385490	0.0	1474
Int1_NO_Pc	NZ_CP045917.1	100.000	85	0	0	1	85	377062	377146	7.79e-35	158
Int1_NO_Pc	NZ_WXZT01000051.1	100.000	798	0	0	1	798	130	927	0.0	1474
Int1_NO_Pc	NZ_WXZU01000049.1	100.000	798	0	0	1	798	2297	3094	0.0	1474
Int1_NO_Pc	NZ_WXZV01000085.1	100.000	798	0	0	1	798	1001	204	0.0	1474
Int1_NO_Pc	NZ_WUDM01000176.1	100.000	798	0	0	1	798	6238	7035	0.0	1474
Int1_NO_Pc	NZ_WUDL01000140.1	100.000	798	0	0	1	798	6238	7035	0.0	1474
Int1_NO_Pc	NZ_VTFE01000040.1	100.000	798	0	0	1	798	55719	54922	0.0	1474
Int1_NO_Pc	NZ_CP039991.1	100.000	798	0	0	1	798	211241	210444	0.0	1474
Int1_NO_Pc	NZ_CP039991.1	100.000	798	0	0	1	798	255007	255804	0.0	1474
Int1_NO_Pc	NZ_CP039991.1	100.000	85	0	0	1	85	220701	220617	7.79e-35	158
Int1_NO_Pc	NZ_CP039991.1	100.000	85	0	0	1	85	245547	245631	7.79e-35	158
Int1_NO_Pc	NZ_CP041945.1	100.000	798	0	0	1	798	6802842	6803639	0.0	1474
Int1_NO_Pc	NZ_CP045739.1	100.000	798	0	0	1	798	3527233	3526436	0.0	1474
Int1_NO_Pc	NZ_CP045739.1	100.000	798	0	0	1	798	6120741	6119944	0.0	1474
